registro,id,duracion_estadia,genero,edad,ninos,codigo_destino,tipo_acomodacion
"""Registro 1""",1010286,7,F,40,0,COL,AirBnB
"""Registro 2""",1000152,5,M,<NA>,0,<NA>,AirBnB
"""Registro 3""",1009019,4,F,39,1,ES,Hotel
"""Registro 4""",1007840,5,F,45,0,NL,Hotel
"""Registro 5""",1006939,5,M,45,1,UK,Hotel
"""Registro 6""",1008812,7,F,47,1,IT,AirBnB
"""Registro 7""",1013918,3,F,53,0,NL,Hotel
"""Registro 8""",1005722,2,F,47,0,AR,Hotel
"""Registro 9""",1003006,3,M,39,1,COL,AirBnB
"""Registro 10""",1006149,5,F,31,<NA>,AR,AirBnB
"""Registro 11""",1006725,4,M,34,1,PE,AirBnB
"""Registro 12""",1006502,9,F,44,<NA>,ES,AirBnB
"""Registro 13""",1005977,7,M,37,1,COL,AirBnB
"""Registro 14""",1009503,4,F,38,1,US,Hotel
"""Registro 15""",1012980,5,M,27,1,US,Hotel
"""Registro 16""",1000476,4,F,48,0,<NA>,Hotel
"""Registro 17""",1011405,3,M,<NA>,1,<NA>,Hotel
"""Registro 18""",1001282,4,M,47,1,COL,AirBnB
"""Registro 19""",1003012,3,F,39,1,US,AirBnB
"""Registro 20""",1005786,2,F,41,<NA>,COL,Hotel
"""Registro 21""",1012851,3,F,33,0,COL,AirBnB
"""Registro 22""",1000135,4,M,43,1,ES,Hotel
"""Registro 23""",1004671,2,F,42,1,PE,Hotel
"""Registro 24""",1000175,3,M,<NA>,1,<NA>,Hotel
"""Registro 25""",1005353,4,F,40,1,COL,Hotel
"""Registro 26""",1004610,4,M,43,0,<NA>,AirBnB
"""Registro 27""",1012677,2,M,32,0,COL,Hotel
"""Registro 28""",1004462,8,M,39,<NA>,PE,AirBnB
"""Registro 29""",1008547,9,M,<NA>,<NA>,IT,Hotel
"""Registro 30""",1003383,5,F,34,0,AR,Hotel
"""Registro 31""",1002540,3,F,38,0,IT,AirBnB
"""Registro 32""",1007511,3,M,<NA>,1,ES,AirBnB
"""Registro 33""",1006294,3,F,47,0,PE,Hotel
"""Registro 34""",1003040,3,F,45,0,<NA>,Hotel
"""Registro 35""",1008031,5,F,39,1,AR,Hotel
"""Registro 36""",1013748,3,F,45,1,UK,AirBnB
"""Registro 37""",1003442,5,F,43,1,ES,AirBnB
"""Registro 38""",1000683,2,M,<NA>,1,NL,AirBnB
"""Registro 39""",1001030,8,F,<NA>,0,AR,Hotel
"""Registro 40""",1003803,4,M,45,1,ES,Hotel
"""Registro 41""",1004800,6,F,32,0,NL,Hotel
"""Registro 42""",1013249,4,F,50,0,PE,Hotel
"""Registro 43""",1011619,3,M,37,0,IT,Hotel
"""Registro 44""",1001015,6,M,39,1,IT,AirBnB
"""Registro 45""",1002342,2,M,37,1,UK,AirBnB
"""Registro 46""",1001314,4,F,42,1,ES,AirBnB
"""Registro 47""",1012730,3,F,47,1,UK,AirBnB
"""Registro 48""",1009419,5,F,40,0,US,AirBnB
"""Registro 49""",1004611,2,M,44,0,IT,AirBnB
"""Registro 50""",1004577,4,F,39,0,IT,AirBnB
"""Registro 51""",1001562,4,F,34,1,COL,Hotel
"""Registro 52""",1006873,7,M,48,0,US,AirBnB
"""Registro 53""",1004197,7,F,38,1,NL,Hotel
"""Registro 54""",1013131,4,M,37,1,UK,AirBnB
"""Registro 55""",1000109,8,M,40,0,IT,Hotel
"""Registro 56""",1002671,4,F,39,0,ES,AirBnB
"""Registro 57""",1011206,5,F,46,0,NL,Hotel
"""Registro 58""",1001431,6,F,44,1,US,AirBnB
"""Registro 59""",1010813,5,M,42,0,US,Hotel
"""Registro 60""",1004861,2,M,40,<NA>,UK,Hotel
"""Registro 61""",1014022,5,M,37,0,US,Hotel
"""Registro 62""",1005777,7,M,<NA>,0,ES,AirBnB
"""Registro 63""",1012376,3,M,37,<NA>,COL,Hotel
"""Registro 64""",1004326,2,M,44,1,ES,AirBnB
"""Registro 65""",1006136,1,F,41,1,<NA>,AirBnB
"""Registro 66""",1012555,5,F,46,1,NL,AirBnB
"""Registro 67""",1003470,2,F,42,0,IT,Hotel
"""Registro 68""",1000757,5,F,42,0,COL,Hotel
"""Registro 69""",1003078,3,F,40,1,AR,Hotel
"""Registro 70""",1004602,5,F,42,0,ES,Hotel
"""Registro 71""",1001036,4,F,41,1,AR,AirBnB
"""Registro 72""",1006821,5,F,36,1,UK,Hotel
"""Registro 73""",1005220,1,F,40,1,US,Hotel
"""Registro 74""",1008258,4,F,45,1,<NA>,AirBnB
"""Registro 75""",1008568,3,F,39,1,US,Hotel
"""Registro 76""",1002362,3,M,42,1,COL,Hotel
"""Registro 77""",1004141,3,M,46,<NA>,ES,Hotel
"""Registro 78""",1000293,7,M,41,1,NL,Hotel
"""Registro 79""",1013773,1,M,41,1,UK,Hotel
"""Registro 80""",1008118,4,F,38,0,<NA>,Hotel
"""Registro 81""",1004989,3,F,44,0,UK,AirBnB
"""Registro 82""",1012400,3,F,33,0,PE,Hotel
